time	V(1)	V(2)	I(L1)
5.156590824495262e-002	-9.357983e-001	-1.301796e+000	6.924294e-004
5.156833323954965e-002	-9.117835e-001	-1.694209e+000	9.559487e-004
5.157098695556973e-002	-8.850369e-001	-2.095868e+000	1.236038e-003
5.157391423782919e-002	-8.537715e-001	-2.494179e+000	1.532693e-003
5.157946207905802e-002	-7.873828e-001	-3.140052e+000	2.061004e-003
5.158620806691631e-002	-6.900136e-001	-3.749126e+000	2.634413e-003
5.159602934436611e-002	-5.114345e-001	-4.305104e+000	3.300563e-003
5.160818245569654e-002	-2.427393e-001	-4.564778e+000	3.843316e-003
5.161793762079584e-002	1.206351e-003	-4.445709e+000	4.007015e-003
5.162653855133390e-002	2.227722e-001	-4.098363e+000	3.898521e-003
5.163557250854567e-002	4.359142e-001	-3.552161e+000	3.535575e-003
5.164633370591550e-002	6.324423e-001	-2.773913e+000	2.842582e-003
5.165812478960723e-002	7.585905e-001	-1.886846e+000	1.880945e-003
5.166623323198941e-002	7.722433e-001	-1.309709e+000	1.156887e-003
5.167470983249719e-002	7.180099e-001	-7.388264e-001	4.073278e-004
5.168033586599686e-002	6.510667e-001	-3.471679e-001	-5.135861e-005
5.168549610819886e-002	5.729247e-001	4.498614e-002	-4.244698e-004
5.169042256305466e-002	4.935627e-001	4.552590e-001	-7.352903e-004
5.169482931985812e-002	4.244555e-001	8.506218e-001	-9.753620e-004
5.169872150282703e-002	3.685708e-001	1.206603e+000	-1.158106e-003
5.170242939648959e-002	3.215251e-001	1.524553e+000	-1.308822e-003
5.170619386460752e-002	2.799793e-001	1.807179e+000	-1.441194e-003
5.171062006779352e-002	2.387857e-001	2.079052e+000	-1.570800e-003
5.171924276923395e-002	1.736420e-001	2.477273e+000	-1.766915e-003
5.173029345205066e-002	1.071511e-001	2.824389e+000	-1.945397e-003
5.174060462423497e-002	5.791155e-002	3.013860e+000	-2.046883e-003
5.175078193804059e-002	1.841892e-002	3.103289e+000	-2.092908e-003
5.176081441941147e-002	-1.229261e-002	3.125408e+000	-2.092707e-003
5.177599647654386e-002	-4.374042e-002	3.095373e+000	-2.035993e-003
5.179215392145153e-002	-5.658950e-002	3.038865e+000	-1.939890e-003
5.180945517555052e-002	-4.638223e-002	2.992735e+000	-1.832155e-003
5.182214901537841e-002	-2.438260e-002	2.990296e+000	-1.773917e-003
5.183091681481611e-002	-2.698451e-003	3.013917e+000	-1.756988e-003
5.183868005937953e-002	1.883525e-002	3.053946e+000	-1.763914e-003
5.184672524823399e-002	4.081933e-002	3.111073e+000	-1.793467e-003
5.185658988721217e-002	6.414576e-002	3.194928e+000	-1.856443e-003
5.186757116150655e-002	8.168938e-002	3.293687e+000	-1.951960e-003
5.188013106282030e-002	8.687785e-002	3.394917e+000	-2.077015e-003
5.189392500156029e-002	7.175756e-002	3.465171e+000	-2.203144e-003
5.191086453203516e-002	2.992558e-002	3.481388e+000	-2.312514e-003
5.192045829768863e-002	-2.742554e-003	3.447957e+000	-2.335805e-003
5.192847091704787e-002	-3.334443e-002	3.388638e+000	-2.319839e-003
5.193688805793868e-002	-6.403799e-002	3.303802e+000	-2.269629e-003
5.194718960418222e-002	-9.487168e-002	3.182516e+000	-2.170567e-003
5.195852681785891e-002	-1.150194e-001	3.046318e+000	-2.029151e-003
5.197152402843578e-002	-1.151625e-001	2.915295e+000	-1.853078e-003
5.198599101249789e-002	-8.699401e-002	2.829504e+000	-1.678937e-003
5.199825589561912e-002	-4.239696e-002	2.823463e+000	-1.577804e-003
5.200704720290547e-002	-6.103319e-004	2.867913e+000	-1.550351e-003
5.201486922934723e-002	4.005656e-002	2.943980e+000	-1.567668e-003
5.202295097458024e-002	8.066703e-002	3.051847e+000	-1.627822e-003
5.203317473227403e-002	1.239974e-001	3.213705e+000	-1.754953e-003
5.204426684456385e-002	1.538704e-001	3.396266e+000	-1.938294e-003
5.205715569120437e-002	1.588733e-001	3.580421e+000	-2.176172e-003
5.207115543912360e-002	1.266547e-001	3.704768e+000	-2.411683e-003
5.208462599781159e-002	6.336900e-002	3.726010e+000	-2.573269e-003
5.209357278845829e-002	6.706849e-003	3.671798e+000	-2.618963e-003
5.210142050823506e-002	-4.873825e-002	3.572243e+000	-2.600755e-003
5.210960928872548e-002	-1.052652e-001	3.427129e+000	-2.523210e-003
5.211953434895121e-002	-1.638412e-001	3.216086e+000	-2.360976e-003
5.213062498805345e-002	-2.069984e-001	2.967226e+000	-2.115757e-003
5.214326312870780e-002	-2.175841e-001	2.715350e+000	-1.799090e-003
5.215728111634325e-002	-1.782757e-001	2.532973e+000	-1.472601e-003
5.217099290908511e-002	-9.406222e-002	2.490896e+000	-1.241265e-003
5.218108690975517e-002	-8.515077e-003	2.567953e+000	-1.166641e-003
5.218918064789660e-002	6.864884e-002	2.706524e+000	-1.191614e-003
5.219761699489894e-002	1.473395e-001	2.912031e+000	-1.303005e-003
5.220757801313417e-002	2.261776e-001	3.202621e+000	-1.528444e-003
5.221882125860715e-002	2.837459e-001	3.546132e+000	-1.870135e-003
5.223144141901709e-002	2.951360e-001	3.883096e+000	-2.300735e-003
5.224554071431604e-002	2.335022e-001	4.103071e+000	-2.727526e-003
5.226322034196842e-002	7.411675e-002	4.114932e+000	-3.078720e-003
5.227296173543320e-002	-4.261384e-002	3.968202e+000	-3.125477e-003
5.228161994839779e-002	-1.550405e-001	3.720917e+000	-3.026895e-003
5.229074934983836e-002	-2.627704e-001	3.383174e+000	-2.796075e-003
5.230154526166040e-002	-3.580259e-001	2.937397e+000	-2.393806e-003
5.231340721634275e-002	-4.041570e-001	2.467719e+000	-1.858880e-003
5.232699463257956e-002	-3.754111e-001	2.040311e+000	-1.228815e-003
5.233747830557405e-002	-2.913257e-001	1.852177e+000	-8.066480e-004
5.234615270233072e-002	-1.793898e-001	1.839628e+000	-5.612164e-004
5.235477264486851e-002	-4.121998e-002	1.967841e+000	-4.474847e-004
5.236300998234020e-002	1.033372e-001	2.214852e+000	-4.765821e-004
5.237138259047250e-002	2.489100e-001	2.577674e+000	-6.566869e-004
5.238120793160266e-002	3.978071e-001	3.099458e+000	-1.042382e-003
5.239227908034320e-002	5.130368e-001	3.728503e+000	-1.644260e-003
5.240470270874548e-002	5.503327e-001	4.366113e+000	-2.424343e-003
5.241845911691988e-002	4.648807e-001	4.837938e+000	-3.241763e-003
5.243296490639834e-002	2.491637e-001	4.973473e+000	-3.880002e-003
5.244338678085610e-002	2.960114e-002	4.787864e+000	-4.091004e-003
5.245148119052822e-002	-1.648470e-001	4.446510e+000	-4.037239e-003
5.245998198928455e-002	-3.656450e-001	3.932660e+000	-3.762367e-003
5.246973527511331e-002	-5.619103e-001	3.224025e+000	-3.214573e-003
5.248097248243389e-002	-7.104166e-001	2.358838e+000	-2.361207e-003
5.249347828775135e-002	-7.695097e-001	1.439341e+000	-1.269673e-003
5.250005508947373e-002	-7.440831e-001	1.001912e+000	-6.835697e-004
5.250587334559502e-002	-6.831238e-001	6.348521e-001	-1.888849e-004
5.250931114053425e-002	-6.346239e-001	4.095307e-001	8.076019e-005
5.251266916864286e-002	-5.798419e-001	1.752201e-001	3.166266e-004
5.251849314022379e-002	-4.800015e-001	-2.579924e-001	6.719045e-004
5.252452388964176e-002	-3.799127e-001	-7.342899e-001	9.749987e-004
5.253102361978577e-002	-2.835408e-001	-1.251738e+000	1.231341e-003
5.253595411512930e-002	-2.226270e-001	-1.607875e+000	1.381484e-003
5.254074528553056e-002	-1.749464e-001	-1.896051e+000	1.493769e-003
5.254552101970198e-002	-1.376976e-001	-2.122990e+000	1.578713e-003
5.255338203031112e-002	-9.208176e-002	-2.406348e+000	1.679657e-003
5.256170619982491e-002	-5.822802e-002	-2.627079e+000	1.753402e-003
5.256914271739890e-002	-3.893027e-002	-2.767729e+000	1.796662e-003
5.257627036818940e-002	-2.816067e-002	-2.866049e+000	1.824801e-003
5.258392547279617e-002	-2.241716e-002	-2.946784e+000	1.847500e-003
5.259106181213627e-002	-2.091808e-002	-3.006933e+000	1.865739e-003
